"N","Time","avg(f)","max(Y)"
1,45.031,137.72,241.5
1,45.08,137.38,241.5
1,45.129,137.08,241.5
1,45.178,136.8,241.5
1,45.227,136.54,241.5
1,45.276,136.26,241.5
1,45.325,136.13,241.5
1,45.374,135.97,241.5
1,45.423,135.8,241.5
1,45.472,135.64,241.5
1,45.521,135.47,241.5
1,45.57,135.3,241.5
1,45.619,135.14,241.5
1,45.668,136.95,241.5
1,45.717,136.51,241.5
1,45.766,136.14,241.5
1,45.815,135.82,241.5
1,45.864,135.55,241.5
1,45.913,135.25,241.5
1,45.962,135.07,241.5
1,46.011,134.9,241.5
1,46.06,136.47,241.5
1,46.109,136.1,241.5
1,46.158,135.78,241.5
1,46.207,135.49,241.5
1,46.256,135.24,241.5
1,46.305,135.57,241.5
1,46.354,135.36,241.5
1,46.403,135.15,241.5
1,46.452,136.5,241.5
1,46.501,136.07,241.5
1,46.55,135.71,241.5
1,46.599,135.4,241.5
1,46.648,135.12,241.5
1,46.697,134.81,241.5
1,46.746,134.63,241.5
1,46.795,134.45,241.5
1,46.844,135.6,241.5
1,46.893,135.28,241.5
1,46.942,134.99,241.5
1,46.991,134.74,241.5
1,47.04,134.51,241.5
1,47.089,134.27,241.5
1,47.138,134.11,241.5
1,47.187,133.95,241.5
1,47.236,133.76,241.5
1,47.285,133.65,241.5
1,47.334,133.53,241.5
1,47.383,133.4,241.5
1,47.432,133.28,241.5
1,47.481,134.11,241.5
1,47.53,133.85,241.5
1,47.579,133.63,241.5
1,47.628,133.41,241.5
1,47.677,133.27,241.5
1,47.726,133.12,241.5
1,47.775,132.99,241.5
1,47.824,132.86,241.5
1,47.873,133.41,241.5
1,47.922,133.21,241.5
1,47.971,133.03,241.5
1,48.02,133.11,241.5
1,48.069,132.94,241.5
1,48.118,132.78,241.5
1,48.167,132.64,241.5
1,48.216,132.5,241.5
1,48.265,132.87,241.5
1,48.314,132.7,241.5
1,48.363,132.54,241.5
1,48.412,132.39,241.5
1,48.461,132.27,241.5
1,48.51,132.14,241.5
1,48.559,132.03,241.5
1,48.608,131.92,241.5
